Timestamp,WorkerID,IPAddress,CPU_Cores,Browser,Status
2025-07-28T17:52:58.031Z,worker-mdncw03eyj6gdsgfmbj,192.168.1.114,8,"Firefox on Windows",Started Computation
2025-07-28T17:52:58.032Z,worker-mdncvk72v3zqxxf4icb,192.168.1.108,8,"Firefox on Windows",Started Computation
2025-07-28T17:52:58.032Z,worker-mdncx5vhdincyi2a9bb,192.168.1.100,4,"Chrome on Windows",Started Computation
2025-07-28T17:52:58.032Z,worker-mdncvx47u47zefe7nl,192.168.1.114,8,"Firefox on Windows",Started Computation
2025-07-28T17:52:58.032Z,worker-mdncwq3h3czek5s1b84,192.168.1.102,4,"Chrome on Windows",Started Computation
2025-07-28T17:52:58.032Z,worker-mdncxlsayn9fj2gfxe,192.168.1.101,4,"Chrome on Windows",Started Computation
2025-07-28T17:52:58.032Z,worker-mdncx87da83ljp3wrwh,192.168.1.100,4,"Chrome on Windows",Started Computation
2025-07-28T17:52:58.033Z,worker-mdncvu5kw9wbqso3ddo,192.168.1.114,8,"Firefox on Windows",Started Computation
2025-07-28T17:52:58.033Z,worker-mdncximm47vk7itsjdy,192.168.1.101,4,"Chrome on Windows",Started Computation
2025-07-28T17:52:58.033Z,worker-mdncxghur5kyv3h04lh,192.168.1.101,4,"Chrome on Windows",Started Computation
2025-07-28T17:52:58.033Z,worker-mdncwnumzgefq0d71e,192.168.1.102,4,"Chrome on Windows",Started Computation
2025-07-28T17:52:58.033Z,worker-mdncwdwduxaal4qi4f,192.168.1.102,4,"Chrome on Windows",Started Computation
2025-07-28T17:52:58.033Z,worker-mdnemuty7yt525uyjje,192.168.1.105,8,"Chrome on Android",Started Computation
2025-07-28T17:52:58.034Z,worker-mdneofwdzmfhzw17byn,192.168.1.107,8,"Chrome on Android",Started Computation
2025-07-28T17:52:58.034Z,worker-mdneophse8hl1rpggwo,192.168.1.104,8,"Chrome on Android",Started Computation
2025-07-28T17:57:34.793Z,worker-mdncvk72v3zqxxf4icb,192.168.1.108,8,"Firefox on Windows",Connected
2025-07-28T17:57:34.796Z,worker-mdncvu5kw9wbqso3ddo,192.168.1.114,8,"Firefox on Windows",Connected
2025-07-28T17:57:34.797Z,worker-mdncx5vhdincyi2a9bb,192.168.1.100,4,"Chrome on Windows",Connected
2025-07-28T17:57:34.797Z,worker-mdncxlsayn9fj2gfxe,192.168.1.101,4,"Chrome on Windows",Connected
2025-07-28T17:57:34.798Z,worker-mdncx87da83ljp3wrwh,192.168.1.100,4,"Chrome on Windows",Connected
2025-07-28T17:57:34.848Z,worker-mdncvx47u47zefe7nl,192.168.1.114,8,"Firefox on Windows",Connected
2025-07-28T17:57:34.851Z,worker-mdnemuty7yt525uyjje,192.168.1.105,8,"Chrome on Android",Connected
2025-07-28T17:57:34.861Z,worker-mdncxghur5kyv3h04lh,192.168.1.101,4,"Chrome on Windows",Connected
2025-07-28T17:57:34.864Z,worker-mdncwq3h3czek5s1b84,192.168.1.102,4,"Chrome on Windows",Connected
2025-07-28T17:57:34.865Z,worker-mdncw03eyj6gdsgfmbj,192.168.1.114,8,"Firefox on Windows",Connected
2025-07-28T17:57:34.874Z,worker-mdneofwdzmfhzw17byn,192.168.1.107,8,"Chrome on Android",Connected
2025-07-28T17:57:34.879Z,worker-mdncximm47vk7itsjdy,192.168.1.101,4,"Chrome on Windows",Connected
2025-07-28T17:57:34.972Z,worker-mdneophse8hl1rpggwo,192.168.1.104,8,"Chrome on Android",Connected
2025-07-28T17:57:35.230Z,worker-mdncwnumzgefq0d71e,192.168.1.102,4,"Chrome on Windows",Connected
2025-07-28T17:57:35.250Z,worker-mdncwdwduxaal4qi4f,192.168.1.102,4,"Chrome on Windows",Connected
2025-07-28T17:58:52.102Z,worker-mdneofwdzmfhzw17byn,192.168.1.107,8,"Chrome on Android",Disconnected
2025-07-28T17:59:52.160Z,worker-mdneophse8hl1rpggwo,192.168.1.104,8,"Chrome on Android",Disconnected
2025-07-28T18:02:03.047Z,worker-mdnemuty7yt525uyjje,192.168.1.105,8,"Chrome on Android",Disconnected
