Timestamp,TaskID,WorkerID,Status,Duration(ms)
2025-08-04T11:38:45.510Z,0,worker-mdx0a5jnb7zf9bage4o,Assigned,
2025-08-04T11:38:45.522Z,1,worker-mdx1c1yo1770ffwhmsu,Assigned,
2025-08-04T11:38:45.533Z,2,worker-mdx1c9o6y4xchhb9a2a,Assigned,
2025-08-04T11:38:45.540Z,3,worker-mdx1cb18bhmyr117iut,Assigned,
2025-08-04T11:38:45.545Z,4,worker-mdx1cc4g1gzzpbn213y,Assigned,
2025-08-04T11:38:45.550Z,5,worker-mdx1cdbbvxgql6o792h,Assigned,
2025-08-04T11:38:45.555Z,6,worker-mdx1cei64a0drj6vxb3,Assigned,
2025-08-04T11:38:45.560Z,7,worker-mdx1cfr1hv8jwsw7aa,Assigned,
2025-08-04T11:38:45.564Z,8,worker-mdx1ch51dq4eiwksxra,Assigned,
2025-08-04T11:38:45.569Z,9,worker-mdx1crp2vm6d0l4qc99,Assigned,
2025-08-04T11:38:45.574Z,10,worker-mdx1cs5di06uwakm1ko,Assigned,
2025-08-04T11:38:45.578Z,11,worker-mdx1ctl83d1be40n8z9,Assigned,
2025-08-04T11:38:45.583Z,12,worker-mdx1cunsvey9o6l7y1,Assigned,
2025-08-04T11:38:45.588Z,13,worker-mdx1cw18y71uqtpye1a,Assigned,
2025-08-04T11:38:45.705Z,0,worker-mdx0a5jnb7zf9bage4o,Completed,0
2025-08-04T11:38:45.710Z,14,worker-mdx0a5jnb7zf9bage4o,Assigned,
2025-08-04T11:38:45.737Z,2,worker-mdx1c9o6y4xchhb9a2a,Completed,1
2025-08-04T11:38:45.750Z,15,worker-mdx1c9o6y4xchhb9a2a,Assigned,
2025-08-04T11:38:45.761Z,3,worker-mdx1cb18bhmyr117iut,Completed,0
2025-08-04T11:38:45.771Z,16,worker-mdx1cb18bhmyr117iut,Assigned,
2025-08-04T11:38:45.780Z,4,worker-mdx1cc4g1gzzpbn213y,Completed,0
2025-08-04T11:38:45.786Z,17,worker-mdx1cc4g1gzzpbn213y,Assigned,
2025-08-04T11:38:45.791Z,5,worker-mdx1cdbbvxgql6o792h,Completed,0
2025-08-04T11:38:45.795Z,18,worker-mdx1cdbbvxgql6o792h,Assigned,
2025-08-04T11:38:45.800Z,6,worker-mdx1cei64a0drj6vxb3,Completed,0
2025-08-04T11:38:45.805Z,19,worker-mdx1cei64a0drj6vxb3,Assigned,
2025-08-04T11:38:45.810Z,8,worker-mdx1ch51dq4eiwksxra,Completed,0
2025-08-04T11:38:45.815Z,20,worker-mdx1ch51dq4eiwksxra,Assigned,
2025-08-04T11:38:45.819Z,7,worker-mdx1cfr1hv8jwsw7aa,Completed,0
2025-08-04T11:38:45.824Z,21,worker-mdx1cfr1hv8jwsw7aa,Assigned,
2025-08-04T11:38:45.893Z,1,worker-mdx1c1yo1770ffwhmsu,Completed,2
2025-08-04T11:38:45.904Z,22,worker-mdx1c1yo1770ffwhmsu,Assigned,
2025-08-04T11:38:45.922Z,14,worker-mdx0a5jnb7zf9bage4o,Completed,0
2025-08-04T11:38:45.932Z,23,worker-mdx0a5jnb7zf9bage4o,Assigned,
2025-08-04T11:38:45.955Z,15,worker-mdx1c9o6y4xchhb9a2a,Completed,0
2025-08-04T11:38:45.965Z,24,worker-mdx1c9o6y4xchhb9a2a,Assigned,
2025-08-04T11:38:45.977Z,16,worker-mdx1cb18bhmyr117iut,Completed,1
2025-08-04T11:38:45.985Z,25,worker-mdx1cb18bhmyr117iut,Assigned,
2025-08-04T11:38:45.991Z,17,worker-mdx1cc4g1gzzpbn213y,Completed,0
2025-08-04T11:38:45.995Z,26,worker-mdx1cc4g1gzzpbn213y,Assigned,
2025-08-04T11:38:46.009Z,18,worker-mdx1cdbbvxgql6o792h,Completed,0
2025-08-04T11:38:46.014Z,27,worker-mdx1cdbbvxgql6o792h,Assigned,
2025-08-04T11:38:46.019Z,19,worker-mdx1cei64a0drj6vxb3,Completed,1
2025-08-04T11:38:46.023Z,28,worker-mdx1cei64a0drj6vxb3,Assigned,
2025-08-04T11:38:46.028Z,20,worker-mdx1ch51dq4eiwksxra,Completed,0
2025-08-04T11:38:46.033Z,29,worker-mdx1ch51dq4eiwksxra,Assigned,
2025-08-04T11:38:46.037Z,21,worker-mdx1cfr1hv8jwsw7aa,Completed,0
2025-08-04T11:38:46.042Z,30,worker-mdx1cfr1hv8jwsw7aa,Assigned,
2025-08-04T11:38:46.145Z,23,worker-mdx0a5jnb7zf9bage4o,Completed,0
2025-08-04T11:38:46.153Z,31,worker-mdx0a5jnb7zf9bage4o,Assigned,
2025-08-04T11:38:46.170Z,22,worker-mdx1c1yo1770ffwhmsu,Completed,1
2025-08-04T11:38:46.181Z,32,worker-mdx1c1yo1770ffwhmsu,Assigned,
2025-08-04T11:38:46.191Z,24,worker-mdx1c9o6y4xchhb9a2a,Completed,0
2025-08-04T11:38:46.198Z,33,worker-mdx1c9o6y4xchhb9a2a,Assigned,
2025-08-04T11:38:46.203Z,25,worker-mdx1cb18bhmyr117iut,Completed,0
2025-08-04T11:38:46.208Z,34,worker-mdx1cb18bhmyr117iut,Assigned,
2025-08-04T11:38:46.213Z,26,worker-mdx1cc4g1gzzpbn213y,Completed,0
2025-08-04T11:38:46.217Z,35,worker-mdx1cc4g1gzzpbn213y,Assigned,
2025-08-04T11:38:46.223Z,27,worker-mdx1cdbbvxgql6o792h,Completed,0
2025-08-04T11:38:46.227Z,36,worker-mdx1cdbbvxgql6o792h,Assigned,
2025-08-04T11:38:46.233Z,28,worker-mdx1cei64a0drj6vxb3,Completed,0
2025-08-04T11:38:46.244Z,37,worker-mdx1cei64a0drj6vxb3,Assigned,
2025-08-04T11:38:46.255Z,29,worker-mdx1ch51dq4eiwksxra,Completed,0
2025-08-04T11:38:46.266Z,38,worker-mdx1ch51dq4eiwksxra,Assigned,
2025-08-04T11:38:46.275Z,30,worker-mdx1cfr1hv8jwsw7aa,Completed,0
