Timestamp,WorkerID,IPAddress,CPU_Cores,Browser,Status
2025-08-07T09:43:28.582Z,worker-me16d022znbc0krjm8n,182.160.116.114,2,"Chrome on Windows",Connected
2025-08-07T09:43:57.858Z,worker-me17mi2sbj2wurf368e,182.160.116.114,8,"Chrome on Android",Connected
2025-08-07T09:44:15.975Z,worker-me17mw0ytfhe0s7wwoe,182.160.116.114,8,"Chrome on Android",Connected
2025-08-07T09:44:29.194Z,worker-me17k4hfsph2sliykr,182.160.116.114,8,"Chrome on Android",Connected
2025-08-07T09:44:30.197Z,worker-me17k4hfsph2sliykr,182.160.116.114,8,"Chrome on Android",Disconnected
2025-08-07T09:44:30.236Z,worker-me17mi2sbj2wurf368e,182.160.116.114,8,"Chrome on Android",Disconnected
2025-08-07T09:44:31.319Z,worker-me17n8hdm4p9oa7zc2,182.160.116.114,8,"Chrome on Android",Connected
2025-08-07T09:44:37.573Z,worker-me17nd74jzip7nqnxcq,182.160.116.114,8,"Chrome on Android",Connected
2025-08-07T09:46:13.714Z,worker-me17pf26y2k61a9bke,182.160.116.114,8,"Chrome on Android",Connected
2025-08-07T09:46:24.445Z,worker-me17pf26y2k61a9bke,182.160.116.114,8,"Chrome on Android",Disconnected
2025-08-07T09:46:52.230Z,worker-me17n8hdm4p9oa7zc2,182.160.116.114,8,"Chrome on Android",Disconnected
2025-08-07T09:46:52.230Z,worker-me17mw0ytfhe0s7wwoe,182.160.116.114,8,"Chrome on Android",Disconnected
2025-08-07T09:47:35.552Z,worker-me17n8hdm4p9oa7zc2,182.160.116.114,8,"Chrome on Android",Connected
2025-08-07T09:47:52.229Z,worker-me17nd74jzip7nqnxcq,182.160.116.114,8,"Chrome on Android",Disconnected
2025-08-07T09:48:34.846Z,worker-me17nd74jzip7nqnxcq,182.160.116.114,8,"Chrome on Android",Connected
2025-08-07T09:49:08.435Z,worker-me16d022znbc0krjm8n,182.160.116.114,2,"Chrome on Windows",Disconnected
2025-08-07T09:49:22.231Z,worker-me17nd74jzip7nqnxcq,182.160.116.114,8,"Chrome on Android",Disconnected
2025-08-07T09:49:22.231Z,worker-me17n8hdm4p9oa7zc2,182.160.116.114,8,"Chrome on Android",Disconnected
2025-08-07T09:49:46.655Z,worker-me17n8hdm4p9oa7zc2,182.160.116.114,8,"Chrome on Android",Connected
2025-08-07T09:49:46.664Z,worker-me17nd74jzip7nqnxcq,182.160.116.114,8,"Chrome on Android",Connected
2025-08-07T09:50:52.233Z,worker-me17nd74jzip7nqnxcq,182.160.116.114,8,"Chrome on Android",Disconnected
2025-08-07T09:50:52.233Z,worker-me17n8hdm4p9oa7zc2,182.160.116.114,8,"Chrome on Android",Disconnected
2025-08-07T09:51:26.032Z,worker-me17nd74jzip7nqnxcq,103.230.105.17,8,"Chrome on Android",Connected
2025-08-07T09:51:26.049Z,worker-me17n8hdm4p9oa7zc2,103.230.105.17,8,"Chrome on Android",Connected
2025-08-07T09:51:50.484Z,worker-me17n8hdm4p9oa7zc2,103.230.105.17,8,"Chrome on Android",Disconnected
2025-08-07T09:51:50.507Z,worker-me17nd74jzip7nqnxcq,103.230.105.17,8,"Chrome on Android",Disconnected
2025-08-07T13:26:08.802Z,worker-me1fk93ua2g5lcwdz1k,52.34.194.50,4,"Edge on Windows",Connected
2025-08-07T13:26:14.999Z,worker-me1fk93ua2g5lcwdz1k,52.34.194.50,4,"Edge on Windows",Disconnected
2025-08-08T02:20:01.537Z,worker-me277gw4r57onk1sncd,44.250.110.0,4,"Chrome on Android",Connected
2025-08-08T02:20:07.330Z,worker-me277gw4r57onk1sncd,44.250.110.0,4,"Chrome on Android",Disconnected
2025-08-08T12:28:33.599Z,worker-me2sy1qnozw7no6ko4i,44.243.14.189,4,"Safari on iOS",Connected
2025-08-08T12:28:40.040Z,worker-me2sy1qnozw7no6ko4i,44.243.14.189,4,"Safari on iOS",Disconnected
2025-08-08T16:27:12.775Z,worker-me31gydvjnh1nqh6ks,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-08T16:30:55.280Z,worker-me31gydvjnh1nqh6ks,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-08T16:52:15.790Z,worker-me31gydvjnh1nqh6ks,160.202.144.166,8,"Firefox on Windows",Disconnected
2025-08-08T17:09:18.444Z,worker-me32z37t993u37zbez,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-08T17:22:26.021Z,worker-me33fy9y3sjul5ddzxz,160.202.144.166,8,"Chrome on Android",Connected
2025-08-08T17:22:27.020Z,worker-me33fzc9ywox2cm1epq,160.202.144.166,8,"Chrome on Android",Connected
2025-08-08T17:23:11.314Z,worker-me33gww6dh27ltjl47,160.202.144.166,8,"Chrome on Android",Connected
2025-08-08T17:23:45.990Z,worker-me16d022znbc0krjm8n,160.202.144.166,2,"Chrome on Windows",Connected
2025-08-08T17:23:47.814Z,worker-me16d022znbc0krjm8n,160.202.144.166,2,"Chrome on Windows",Disconnected
2025-08-08T17:23:49.168Z,worker-me33hr0wqywxgb44zyc,160.202.144.166,2,"Chrome on Windows",Connected
2025-08-08T17:24:10.243Z,worker-me33i7bk1zperoukahe,160.202.144.166,8,"Chrome on Windows",Connected
2025-08-08T17:24:57.281Z,worker-me33j7kkgjjwdz0ivq8,160.202.144.166,8,"Chrome on Windows",Connected
2025-08-08T17:25:38.971Z,worker-me33k1yg1xtqa2a3tiz,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T17:25:42.824Z,worker-me33k4xi5fwl1iyjg0j,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T17:25:47.871Z,worker-me33k8tqmc5grsrokm,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T17:25:58.111Z,worker-me33kgq045hyvu6wpof,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T17:28:46.541Z,worker-me33o3e8njgvyh7xey,160.202.144.166,8,"Chrome on Android",Connected
2025-08-08T17:31:26.570Z,worker-me33o3e8njgvyh7xey,160.202.144.166,8,"Chrome on Android",Disconnected
2025-08-08T17:31:28.548Z,worker-me33rkno99q41rjzt7j,160.202.144.166,8,"Chrome on Android",Connected
2025-08-08T17:31:29.477Z,worker-me33rkno99q41rjzt7j,160.202.144.166,8,"Chrome on Android",Disconnected
2025-08-08T17:31:31.090Z,worker-me33rm03ea9u5w2u346,160.202.144.166,8,"Chrome on Android",Connected
2025-08-08T17:38:50.045Z,worker-me33gww6dh27ltjl47,160.202.144.166,8,"Chrome on Android",Disconnected
2025-08-08T17:38:50.062Z,worker-me33fzc9ywox2cm1epq,160.202.144.166,8,"Chrome on Android",Disconnected
2025-08-08T17:38:50.070Z,worker-me33fy9y3sjul5ddzxz,160.202.144.166,8,"Chrome on Android",Disconnected
2025-08-08T17:39:25.022Z,worker-me33fzc9ywox2cm1epq,160.202.144.166,8,"Chrome on Android",Connected
2025-08-08T17:40:07.070Z,worker-me33gww6dh27ltjl47,160.202.144.166,8,"Chrome on Android",Connected
2025-08-08T17:40:27.908Z,worker-me33gww6dh27ltjl47,160.202.144.166,8,"Chrome on Android",Disconnected
2025-08-08T17:40:50.055Z,worker-me33fzc9ywox2cm1epq,160.202.144.166,8,"Chrome on Android",Disconnected
2025-08-08T17:53:23.699Z,worker-me32z37t993u37zbez,160.202.144.166,8,"Firefox on Windows",Disconnected
2025-08-08T17:53:25.254Z,worker-me34jtiop40pflobe8g,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-08T17:59:22.212Z,worker-me33fzc9ywox2cm1epq,160.202.144.166,8,"Chrome on Android",Connected
2025-08-08T17:59:22.571Z,worker-me33fzc9ywox2cm1epq,160.202.144.166,8,"Chrome on Android",Disconnected
2025-08-08T18:06:01.824Z,worker-me34jtiop40pflobe8g,160.202.144.166,8,"Firefox on Windows",Disconnected
2025-08-08T18:06:03.870Z,worker-me3502twlg045epjwf,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-08T18:13:25.034Z,worker-me359j9nzfzwnji0xpd,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-08T18:13:28.571Z,worker-me33j7kkgjjwdz0ivq8,160.202.144.166,8,"Chrome on Windows",Connected
2025-08-08T18:13:28.676Z,worker-me33hr0wqywxgb44zyc,160.202.144.166,2,"Chrome on Windows",Connected
2025-08-08T18:13:28.850Z,worker-me33kgq045hyvu6wpof,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:13:29.172Z,worker-me33i7bk1zperoukahe,160.202.144.166,8,"Chrome on Windows",Connected
2025-08-08T18:13:29.390Z,worker-me33k8tqmc5grsrokm,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:13:29.934Z,worker-me33k4xi5fwl1iyjg0j,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:13:30.477Z,worker-me33k1yg1xtqa2a3tiz,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:13:54.619Z,worker-me33k4xi5fwl1iyjg0j,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:13:54.724Z,worker-me33j7kkgjjwdz0ivq8,160.202.144.166,8,"Chrome on Windows",Connected
2025-08-08T18:13:54.763Z,worker-me359j9nzfzwnji0xpd,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-08T18:13:55.154Z,worker-me33kgq045hyvu6wpof,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:13:55.650Z,worker-me33hr0wqywxgb44zyc,160.202.144.166,2,"Chrome on Windows",Connected
2025-08-08T18:13:55.686Z,worker-me33i7bk1zperoukahe,160.202.144.166,8,"Chrome on Windows",Connected
2025-08-08T18:13:55.687Z,worker-me33k1yg1xtqa2a3tiz,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:13:56.224Z,worker-me33k8tqmc5grsrokm,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:14:19.979Z,worker-me33k1yg1xtqa2a3tiz,123.49.52.54,12,"Firefox on Windows",Disconnected
2025-08-08T18:14:19.979Z,worker-me33k8tqmc5grsrokm,123.49.52.54,12,"Firefox on Windows",Disconnected
2025-08-08T18:14:19.982Z,worker-me33k4xi5fwl1iyjg0j,123.49.52.54,12,"Firefox on Windows",Disconnected
2025-08-08T18:14:19.982Z,worker-me33j7kkgjjwdz0ivq8,160.202.144.166,8,"Chrome on Windows",Disconnected
2025-08-08T18:14:19.982Z,worker-me359j9nzfzwnji0xpd,160.202.144.166,8,"Firefox on Windows",Disconnected
2025-08-08T18:14:19.982Z,worker-me33kgq045hyvu6wpof,123.49.52.54,12,"Firefox on Windows",Disconnected
2025-08-08T18:14:19.982Z,worker-me33hr0wqywxgb44zyc,160.202.144.166,2,"Chrome on Windows",Disconnected
2025-08-08T18:14:19.982Z,worker-me33i7bk1zperoukahe,160.202.144.166,8,"Chrome on Windows",Disconnected
2025-08-08T18:14:22.663Z,worker-me33fzc9ywox2cm1epq,160.202.144.166,8,"Chrome on Android",Connected
2025-08-08T18:14:25.714Z,worker-me33k4xi5fwl1iyjg0j,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:14:25.768Z,worker-me359j9nzfzwnji0xpd,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-08T18:14:25.790Z,worker-me33j7kkgjjwdz0ivq8,160.202.144.166,8,"Chrome on Windows",Connected
2025-08-08T18:14:26.258Z,worker-me33k1yg1xtqa2a3tiz,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:14:26.678Z,worker-me33hr0wqywxgb44zyc,160.202.144.166,2,"Chrome on Windows",Connected
2025-08-08T18:14:26.700Z,worker-me33i7bk1zperoukahe,160.202.144.166,8,"Chrome on Windows",Connected
2025-08-08T18:14:26.791Z,worker-me33kgq045hyvu6wpof,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:14:27.330Z,worker-me33k8tqmc5grsrokm,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:15:53.016Z,worker-me33j7kkgjjwdz0ivq8,160.202.144.166,8,"Chrome on Windows",Connected
2025-08-08T18:15:56.645Z,worker-me33hr0wqywxgb44zyc,160.202.144.166,2,"Chrome on Windows",Connected
2025-08-08T18:15:56.680Z,worker-me33i7bk1zperoukahe,160.202.144.166,8,"Chrome on Windows",Connected
2025-08-08T18:15:59.047Z,worker-me359j9nzfzwnji0xpd,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-08T18:16:03.409Z,worker-me33k1yg1xtqa2a3tiz,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:16:03.946Z,worker-me33k8tqmc5grsrokm,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:16:04.488Z,worker-me33kgq045hyvu6wpof,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:16:05.028Z,worker-me33k4xi5fwl1iyjg0j,123.49.52.54,12,"Firefox on Windows",Connected
2025-08-08T18:16:23.995Z,worker-me33fzc9ywox2cm1epq,160.202.144.166,8,"Chrome on Android",Connected
2025-08-08T18:18:24.733Z,worker-me33fzc9ywox2cm1epq,160.202.144.166,8,"Chrome on Android",Disconnected
