Timestamp,TaskID,WorkerID,Status,Duration(ms)
2025-07-29T11:26:54.248Z,0,worker-mdoaqj9d45ns45ag0x2,Assigned,
2025-07-29T11:26:54.258Z,1,worker-mdoar2qcik4tx1y53ir,Assigned,
2025-07-29T11:26:54.267Z,2,worker-mdoaqo5mcn2vwmw4uik,Assigned,
2025-07-29T11:26:54.278Z,3,worker-mdoa9g35eibx29hq0ce,Assigned,
2025-07-29T11:26:54.287Z,4,worker-mdoaq7q18qzkdel0ha4,Assigned,
2025-07-29T11:26:54.296Z,5,worker-mdofttbrxlqqeae7fdg,Assigned,
2025-07-29T11:26:54.306Z,6,worker-mdoaq28q4pls1f8mhwl,Assigned,
2025-07-29T11:26:54.317Z,7,worker-mdoarc4csukil64i3m,Assigned,
2025-07-29T11:26:54.326Z,8,worker-mdoa9dzdf5if3nq55ta,Assigned,
2025-07-29T11:26:54.336Z,9,worker-mdoa9efxx6fnaeyscxh,Assigned,
2025-07-29T11:26:54.345Z,10,worker-mdogby5xu8lp0bmdv5s,Assigned,
2025-07-29T11:26:54.451Z,0,worker-mdoaqj9d45ns45ag0x2,Completed,16
2025-07-29T11:26:54.458Z,11,worker-mdoaqj9d45ns45ag0x2,Assigned,
2025-07-29T11:26:54.557Z,1,worker-mdoar2qcik4tx1y53ir,Completed,16
2025-07-29T11:26:54.568Z,12,worker-mdoar2qcik4tx1y53ir,Assigned,
2025-07-29T11:26:54.588Z,2,worker-mdoaqo5mcn2vwmw4uik,Completed,10
2025-07-29T11:26:54.598Z,13,worker-mdoaqo5mcn2vwmw4uik,Assigned,
2025-07-29T11:26:54.650Z,3,worker-mdoa9g35eibx29hq0ce,Completed,16
2025-07-29T11:26:54.657Z,14,worker-mdoa9g35eibx29hq0ce,Assigned,
2025-07-29T11:26:54.714Z,7,worker-mdoarc4csukil64i3m,Completed,19
2025-07-29T11:26:54.724Z,15,worker-mdoarc4csukil64i3m,Assigned,
2025-07-29T11:26:54.885Z,5,worker-mdofttbrxlqqeae7fdg,Completed,6
2025-07-29T11:26:54.898Z,16,worker-mdofttbrxlqqeae7fdg,Assigned,
2025-07-29T11:26:54.922Z,4,worker-mdoaq7q18qzkdel0ha4,Completed,0
2025-07-29T11:26:54.934Z,17,worker-mdoaq7q18qzkdel0ha4,Assigned,
2025-07-29T11:26:55.021Z,11,worker-mdoaqj9d45ns45ag0x2,Completed,6
2025-07-29T11:26:55.031Z,18,worker-mdoaqj9d45ns45ag0x2,Assigned,
2025-07-29T11:26:55.109Z,6,worker-mdoaq28q4pls1f8mhwl,Completed,10
2025-07-29T11:26:55.120Z,19,worker-mdoaq28q4pls1f8mhwl,Assigned,
2025-07-29T11:26:55.145Z,12,worker-mdoar2qcik4tx1y53ir,Completed,6
2025-07-29T11:26:55.153Z,20,worker-mdoar2qcik4tx1y53ir,Assigned,
2025-07-29T11:26:55.195Z,8,worker-mdoa9dzdf5if3nq55ta,Completed,24
2025-07-29T11:26:55.206Z,21,worker-mdoa9dzdf5if3nq55ta,Assigned,
2025-07-29T11:26:55.215Z,10,worker-mdogby5xu8lp0bmdv5s,Completed,0
2025-07-29T11:26:55.225Z,22,worker-mdogby5xu8lp0bmdv5s,Assigned,
2025-07-29T11:26:55.234Z,15,worker-mdoarc4csukil64i3m,Completed,19
2025-07-29T11:26:55.242Z,23,worker-mdoarc4csukil64i3m,Assigned,
2025-07-29T11:26:55.253Z,13,worker-mdoaqo5mcn2vwmw4uik,Completed,19
2025-07-29T11:26:55.262Z,24,worker-mdoaqo5mcn2vwmw4uik,Assigned,
2025-07-29T11:26:55.271Z,9,worker-mdoa9efxx6fnaeyscxh,Completed,0
2025-07-29T11:26:55.281Z,25,worker-mdoa9efxx6fnaeyscxh,Assigned,
2025-07-29T11:26:55.291Z,14,worker-mdoa9g35eibx29hq0ce,Completed,0
2025-07-29T11:26:55.302Z,26,worker-mdoa9g35eibx29hq0ce,Assigned,
2025-07-29T11:26:55.388Z,16,worker-mdofttbrxlqqeae7fdg,Completed,4
2025-07-29T11:26:55.398Z,27,worker-mdofttbrxlqqeae7fdg,Assigned,
2025-07-29T11:26:55.761Z,18,worker-mdoaqj9d45ns45ag0x2,Completed,14
2025-07-29T11:26:55.769Z,28,worker-mdoaqj9d45ns45ag0x2,Assigned,
2025-07-29T11:26:55.822Z,23,worker-mdoarc4csukil64i3m,Completed,15
2025-07-29T11:26:55.835Z,29,worker-mdoarc4csukil64i3m,Assigned,
2025-07-29T11:26:55.854Z,20,worker-mdoar2qcik4tx1y53ir,Completed,7
